ticket_id,user_id,subject,category,priority,status,channel,created_at,resolved_at,assignee,satisfaction,message
TCK-2134,65,Report totals disagree with the dashboard,technical,high,open,web-form,2025-08-16T01:00:00Z,,,,"The dashboard shows 1,204 events and the CSV export of the same range shows 1,198."
TCK-2135,75,Invoice shows the wrong VAT rate,billing,normal,closed,web-form,2025-08-17T10:21:00Z,2025-08-26T09:21:00Z,kestrel.blackwood@veranix.example,4,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2136,53,Refund has not reached my account,refund,high,pending,web-form,2025-08-17T11:54:00Z,,isolde.novachek@veranix.example,,You confirmed the refund on the 3rd; twelve days later it is still not on the card.
TCK-2137,42,Address change ignored on dispatch,shipping,high,pending,phone,2025-08-18T11:49:00Z,,kestrel.blackwood@veranix.example,,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2138,33,Sandbox key rejected by the live endpoint,technical,normal,closed,phone,2025-08-21T17:45:00Z,2025-08-26T03:45:00Z,soren.merriweather@veranix.example,5,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2139,7,Sandbox key rejected by the live endpoint,technical,normal,closed,email,2025-08-22T08:58:00Z,2025-08-29T14:58:00Z,gideon.jandreau@veranix.example,3,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2140,109,Sandbox key rejected by the live endpoint,technical,low,closed,web-form,2025-08-22T13:23:00Z,2025-08-27T15:23:00Z,kestrel.hartwell@veranix.example,4,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2141,17,Export finishes with an empty file,technical,low,pending,web-form,2025-08-23T05:00:00Z,,katriel.eriksen@veranix.example,,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2142,107,Cannot remove a card from my wallet,account,urgent,open,email,2025-08-23T22:16:00Z,,,,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2143,62,Attachment upload stalls at 90 percent,technical,high,closed,email,2025-08-25T08:32:00Z,2025-09-03T03:32:00Z,soren.brandt@veranix.example,3,Uploads reach 90 percent and stop; smaller files under 2 MB go through without trouble.
TCK-2144,28,Search returns no results for a known product,product,urgent,closed,phone,2025-08-25T18:14:00Z,2025-08-26T20:14:00Z,gideon.jandreau@veranix.example,2,"Searching for the exact product name gives nothing, though the product page loads fine."
TCK-2145,96,Invoice shows the wrong VAT rate,billing,normal,closed,web-form,2025-08-25T19:14:00Z,2025-09-05T00:14:00Z,dorian.quillfeather@veranix.example,5,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2146,6,Account locked after one failed login,account,normal,open,web-form,2025-08-26T06:07:00Z,,,,"One typo in the password locked the account outright, with no unlock email sent."
TCK-2147,19,Cannot reset my password,account,low,escalated,phone,2025-08-27T05:00:00Z,,katriel.eriksen@veranix.example,,I have tried three browsers and a private window; the reset link always says it has expired.
TCK-2148,96,Report totals disagree with the dashboard,technical,normal,pending,chat,2025-08-27T07:58:00Z,,katriel.eriksen@veranix.example,,"The dashboard shows 1,204 events and the CSV export of the same range shows 1,198."
TCK-2149,91,Two-factor codes arrive late,account,normal,closed,web-form,2025-08-29T16:49:00Z,2025-09-05T11:49:00Z,bastian.quintero@veranix.example,4,"Codes turn up eight or nine minutes late, by which point the login screen has timed out."
TCK-2150,9,Duplicate charge on one order,billing,low,closed,phone,2025-08-29T22:16:00Z,2025-09-04T18:16:00Z,katriel.eriksen@veranix.example,5,"One order, two charges, same amount, same timestamp - please reverse the second one."
